image_file,time,truth,category,lower,estimate,upper
CamB_1321.jpg,2018-12-20 00:22:53,21,train,18,20,24
CamB_1322.jpg,2018-12-20 00:26:33,,new,18,20,21
CamB_1323.jpg,2018-12-20 00:27:19,16,train,13,17,18
CamB_1324.jpg,2018-12-20 00:37:10,22,train,22,22,22
CamB_1325.jpg,2018-12-20 00:47:11,20,train,20,21,21
CamB_1326.jpg,2018-12-20 00:57:12,,new,17,21,21
CamB_1327.jpg,2018-12-20 01:07:13,,new,20,21,22
CamB_1328.jpg,2018-12-20 01:17:14,,new,19,20,20
CamB_1329.jpg,2018-12-20 01:27:15,,new,20,20,20
CamB_1330.jpg,2018-12-20 01:37:16,,new,17,18,20
CamB_1331.jpg,2018-12-20 01:47:17,20,train,18,20,20
CamB_1332.jpg,2018-12-20 01:57:18,,new,18,19,19
CamB_1333.jpg,2018-12-20 02:07:19,,new,16,17,17
CamB_1334.jpg,2018-12-20 02:17:20,,new,15,17,17
CamB_1335.jpg,2018-12-20 02:27:21,,new,15,16,16
CamB_1336.jpg,2018-12-20 02:37:22,,new,15,17,17
CamB_1337.jpg,2018-12-20 02:47:23,,new,15,16,17
CamB_1338.jpg,2018-12-20 02:57:24,16,train,16,16,17
CamB_1339.jpg,2018-12-20 03:07:25,,new,14,15,15
CamB_1340.jpg,2018-12-20 03:17:26,,new,14,16,16
CamB_1341.jpg,2018-12-20 03:27:27,,new,13,15,16
CamB_1342.jpg,2018-12-20 03:37:28,,new,13,15,16
CamB_1343.jpg,2018-12-20 03:47:29,,new,13,15,15
CamB_1344.jpg,2018-12-20 03:57:30,,new,13,16,16
CamB_1345.jpg,2018-12-20 04:07:31,,new,15,18,18
CamB_1346.jpg,2018-12-20 04:17:33,,new,16,17,18
CamB_1347.jpg,2018-12-20 04:27:34,,new,16,18,18
CamB_1348.jpg,2018-12-20 04:37:35,,new,17,18,18
CamB_1349.jpg,2018-12-20 04:47:36,,new,18,18,18
CamB_1350.jpg,2018-12-20 04:57:37,,new,16,17,19
CamB_1351.jpg,2018-12-20 05:07:38,,new,18,19,19
CamB_1352.jpg,2018-12-20 05:17:39,,new,18,19,20
CamB_1353.jpg,2018-12-20 05:27:40,,new,16,17,17
CamB_1354.jpg,2018-12-20 05:37:41,,new,16,17,17
CamB_1355.jpg,2018-12-20 05:47:42,,new,16,17,17
CamB_1356.jpg,2018-12-20 05:57:43,,new,15,15,16
CamB_1357.jpg,2018-12-20 06:07:44,,new,15,16,16
CamB_1358.jpg,2018-12-20 06:17:45,,new,14,14,14
CamB_1359.jpg,2018-12-20 06:27:46,,new,13,14,15
CamB_1360.jpg,2018-12-20 06:37:47,,new,15,15,15
CamB_1361.jpg,2018-12-20 06:47:48,,new,13,14,14
CamB_1362.jpg,2018-12-20 06:57:49,14,train,14,14,14
CamB_1363.jpg,2018-12-20 07:07:50,,new,14,15,16
CamB_1364.jpg,2018-12-20 07:17:51,,new,13,14,15
CamB_1365.jpg,2018-12-20 07:27:52,,new,15,15,16
CamB_1366.jpg,2018-12-20 07:37:53,,new,13,14,15
CamB_1367.jpg,2018-12-20 07:47:54,,new,14,14,14
