image_file,time,truth,category,lower,estimate,upper
[0881]_28-11-2014_2130.jpg,2014-11-28 08:30:20,41,train,40,44,46
[0882]_28-11-2014_2140.jpg,2014-11-28 08:40:20,,new,40,43,47
[0883]_28-11-2014_2150.jpg,2014-11-28 08:50:20,,new,38,42,47
[0884]_28-11-2014_2200.jpg,2014-11-28 09:00:20,,new,40,43,47
[0888]_28-11-2014_2240.jpg,2014-11-28 09:40:20,,new,40,43,46
[0889]_28-11-2014_2250.jpg,2014-11-28 09:50:20,,new,40,42,45
[0890]_28-11-2014_2300.jpg,2014-11-28 10:00:20,42,train,42,42,44
[0891]_28-11-2014_2310.jpg,2014-11-28 10:10:20,,new,42,42,44
[0892]_28-11-2014_2320.jpg,2014-11-28 10:20:20,,new,40,41,44
[0893]_28-11-2014_2330.jpg,2014-11-28 10:30:20,,new,39,43,44
[0894]_28-11-2014_2340.jpg,2014-11-28 10:40:20,41,train,41,41,42
[0895]_28-11-2014_2350.jpg,2014-11-28 10:50:20,41,train,41,41,43
[0896]_29-11-2014_0000.jpg,2014-11-28 11:00:20,39,train,38,39,40
[0897]_29-11-2014_0010.jpg,2014-11-28 11:10:20,,new,39,40,43
[0898]_29-11-2014_0020.jpg,2014-11-28 11:20:20,37,train,37,39,40
[0899]_29-11-2014_0030.jpg,2014-11-28 11:30:20,,new,36,36,37
[0900]_29-11-2014_0040.jpg,2014-11-28 11:40:20,,new,29,30,30
[0901]_29-11-2014_0050.jpg,2014-11-28 11:50:20,,new,29,30,30
[0902]_29-11-2014_0100.jpg,2014-11-28 12:00:20,,new,26,27,27
[0903]_29-11-2014_0110.jpg,2014-11-28 12:10:20,,new,27,27,27
[0904]_29-11-2014_0120.jpg,2014-11-28 12:20:20,,new,27,27,27
[0905]_29-11-2014_0130.jpg,2014-11-28 12:30:20,27,train,27,27,27
[0906]_29-11-2014_0140.jpg,2014-11-28 12:40:20,,new,26,29,30
[0907]_29-11-2014_0150.jpg,2014-11-28 12:50:20,,new,26,28,32
[0908]_29-11-2014_0200.jpg,2014-11-28 13:00:20,,new,27,30,33
[0909]_29-11-2014_0210.jpg,2014-11-28 13:10:20,,new,25,27,27
[0910]_29-11-2014_0220.jpg,2014-11-28 13:20:20,,new,24,26,27
[0911]_29-11-2014_0230.jpg,2014-11-28 13:30:20,,new,22,25,25
[0912]_29-11-2014_0240.jpg,2014-11-28 13:40:20,,new,24,25,28
[0913]_29-11-2014_0250.jpg,2014-11-28 13:50:20,,new,23,24,30
[0914]_29-11-2014_0300.jpg,2014-11-28 14:00:20,,new,27,28,31
[0915]_29-11-2014_0310.jpg,2014-11-28 14:10:20,,new,25,27,28
[0916]_29-11-2014_0320.jpg,2014-11-28 14:20:20,,new,24,27,29
[0917]_29-11-2014_0330.jpg,2014-11-28 14:30:20,,new,26,27,27
[0918]_29-11-2014_0340.jpg,2014-11-28 14:40:20,28,validate,26,27,28
[0919]_29-11-2014_0350.jpg,2014-11-28 14:50:20,,new,24,25,27
[0920]_29-11-2014_0400.jpg,2014-11-28 15:00:20,,new,22,24,25
[0921]_29-11-2014_0410.jpg,2014-11-28 15:10:20,,new,22,24,25
[0922]_29-11-2014_0420.jpg,2014-11-28 15:20:20,,new,23,26,27
[0923]_29-11-2014_0430.jpg,2014-11-28 15:30:20,,new,21,25,27
[0924]_29-11-2014_0440.jpg,2014-11-28 15:40:20,,new,20,24,25
[0925]_29-11-2014_0450.jpg,2014-11-28 15:50:20,,new,21,23,27
[0926]_29-11-2014_0500.jpg,2014-11-28 16:00:20,,new,21,23,25
[0927]_29-11-2014_0510.jpg,2014-11-28 16:10:20,,new,23,24,26
[0928]_29-11-2014_0520.jpg,2014-11-28 16:20:20,,new,25,26,27
[0929]_29-11-2014_0530.jpg,2014-11-28 16:30:20,,new,23,25,27
[0930]_29-11-2014_0540.jpg,2014-11-28 16:40:20,,new,23,24,27
[0931]_29-11-2014_0550.jpg,2014-11-28 16:50:20,,new,21,22,26
[0932]_29-11-2014_0600.jpg,2014-11-28 17:00:20,,new,24,25,27
[0933]_29-11-2014_0610.jpg,2014-11-28 17:10:20,26,test,26,26,27
[0934]_29-11-2014_1100.jpg,2014-11-28 22:00:20,,new,32,33,33
[0935]_29-11-2014_1110.jpg,2014-11-28 22:10:20,,new,32,33,34
[0936]_29-11-2014_1120.jpg,2014-11-28 22:20:20,33,train,32,35,35
[0937]_29-11-2014_1130.jpg,2014-11-28 22:30:20,,new,31,32,33
[0938]_29-11-2014_1140.jpg,2014-11-28 22:40:20,,new,31,32,33
[0939]_29-11-2014_1150.jpg,2014-11-28 22:50:20,,new,32,34,35
[0940]_29-11-2014_1200.jpg,2014-11-28 23:00:20,,new,32,35,35
[0941]_29-11-2014_1210.jpg,2014-11-28 23:10:20,,new,33,34,35
[0942]_29-11-2014_1220.jpg,2014-11-28 23:20:20,,new,32,34,35
[0943]_29-11-2014_1230.jpg,2014-11-28 23:30:20,,new,32,34,35
[0944]_29-11-2014_1240.jpg,2014-11-28 23:40:20,35,train,33,34,35
[0945]_29-11-2014_1300.jpg,2014-11-29 00:00:20,,new,31,34,34
[0946]_29-11-2014_1310.jpg,2014-11-29 00:10:20,,new,34,36,36
[0947]_29-11-2014_1320.jpg,2014-11-29 00:20:20,,new,34,36,36
[0948]_29-11-2014_1330.jpg,2014-11-29 00:30:20,,new,38,38,39
[0949]_29-11-2014_1340.jpg,2014-11-29 00:40:20,,new,37,37,38
[0950]_29-11-2014_1350.jpg,2014-11-29 00:50:20,,new,36,38,38
[0951]_29-11-2014_1400.jpg,2014-11-29 01:00:20,,new,36,38,38
[0952]_29-11-2014_1410.jpg,2014-11-29 01:10:20,,new,36,37,37
[0953]_29-11-2014_1420.jpg,2014-11-29 01:20:20,,new,35,38,39
[0954]_29-11-2014_1430.jpg,2014-11-29 01:30:20,,new,33,37,38
[0955]_29-11-2014_1440.jpg,2014-11-29 01:40:20,,new,32,36,36
[0956]_29-11-2014_1450.jpg,2014-11-29 01:50:20,,new,33,34,35
[0957]_29-11-2014_1500.jpg,2014-11-29 02:00:20,,new,33,36,37
[0958]_29-11-2014_1510.jpg,2014-11-29 02:10:20,,new,36,37,40
[0959]_29-11-2014_1520.jpg,2014-11-29 02:20:20,,new,34,37,38
[0960]_29-11-2014_1530.jpg,2014-11-29 02:30:20,,new,35,39,39
[0961]_29-11-2014_1540.jpg,2014-11-29 02:40:20,,new,32,35,36
[0962]_29-11-2014_1550.jpg,2014-11-29 02:50:20,38,validate,37,37,38
[0963]_29-11-2014_1600.jpg,2014-11-29 03:00:20,38,validate,33,37,39
[0964]_29-11-2014_1610.jpg,2014-11-29 03:10:20,,new,33,36,39
[0965]_29-11-2014_1620.jpg,2014-11-29 03:20:20,,new,35,38,39
[0966]_29-11-2014_1630.jpg,2014-11-29 03:30:20,,new,35,38,39
[0967]_29-11-2014_1640.jpg,2014-11-29 03:40:20,,new,36,38,38
[0968]_29-11-2014_1650.jpg,2014-11-29 03:50:20,,new,37,38,38
[0969]_29-11-2014_1700.jpg,2014-11-29 04:00:20,,new,37,39,40
[0970]_29-11-2014_1710.jpg,2014-11-29 04:10:20,,new,37,39,39
[0971]_29-11-2014_1720.jpg,2014-11-29 04:20:20,40,train,40,40,41
[0972]_29-11-2014_1730.jpg,2014-11-29 04:30:20,,new,36,36,38
[0973]_29-11-2014_1740.jpg,2014-11-29 04:40:20,39,test,36,38,38
[0974]_29-11-2014_1750.jpg,2014-11-29 04:50:20,,new,32,35,35
[0975]_29-11-2014_1800.jpg,2014-11-29 05:00:20,,new,35,37,38
[0976]_29-11-2014_1810.jpg,2014-11-29 05:10:20,,new,35,37,38
[0977]_29-11-2014_1820.jpg,2014-11-29 05:20:20,,new,34,36,36
[0978]_29-11-2014_1830.jpg,2014-11-29 05:30:20,,new,31,36,37
[0979]_29-11-2014_1840.jpg,2014-11-29 05:40:20,,new,32,34,35
[0980]_29-11-2014_1850.jpg,2014-11-29 05:50:20,,new,33,37,39
[0981]_29-11-2014_1900.jpg,2014-11-29 06:00:20,,new,39,42,45
[0982]_29-11-2014_1910.jpg,2014-11-29 06:10:20,,new,27,30,34
[0983]_29-11-2014_1920.jpg,2014-11-29 06:20:20,,new,31,32,34
[0984]_29-11-2014_1930.jpg,2014-11-29 06:30:20,,new,26,31,34
[0985]_29-11-2014_1940.jpg,2014-11-29 06:40:20,,new,27,30,35
[0986]_29-11-2014_1950.jpg,2014-11-29 06:50:20,,new,27,31,35
[0987]_29-11-2014_2000.jpg,2014-11-29 07:00:20,,new,30,31,35
[0988]_29-11-2014_2010.jpg,2014-11-29 07:10:20,,new,26,28,31
[0989]_29-11-2014_2020.jpg,2014-11-29 07:20:20,,new,27,28,31
[0990]_29-11-2014_2030.jpg,2014-11-29 07:30:20,,new,27,28,30
[0991]_29-11-2014_2040.jpg,2014-11-29 07:40:20,,new,25,28,30
[0992]_29-11-2014_2050.jpg,2014-11-29 07:50:20,,new,28,30,33
[0993]_29-11-2014_2100.jpg,2014-11-29 08:00:20,,new,25,27,31
[0994]_29-11-2014_2110.jpg,2014-11-29 08:10:20,,new,26,28,31
[0995]_29-11-2014_2120.jpg,2014-11-29 08:20:20,29,train,28,29,32
[0996]_29-11-2014_2130.jpg,2014-11-29 08:30:20,,new,28,29,30
[0997]_29-11-2014_2150.jpg,2014-11-29 08:50:20,,new,25,27,30
[0998]_29-11-2014_2200.jpg,2014-11-29 09:00:20,,new,26,28,30
[0999]_29-11-2014_2210.jpg,2014-11-29 09:10:20,,new,24,26,29
[1000]_29-11-2014_2220.jpg,2014-11-29 09:20:20,,new,26,27,29
[1001]_29-11-2014_2230.jpg,2014-11-29 09:30:20,,new,24,26,29
[1002]_29-11-2014_2240.jpg,2014-11-29 09:40:20,,new,24,25,30
[1003]_29-11-2014_2250.jpg,2014-11-29 09:50:20,,new,22,24,27
[1004]_29-11-2014_2300.jpg,2014-11-29 10:00:20,,new,22,24,29
[1005]_29-11-2014_2310.jpg,2014-11-29 10:10:20,,new,24,25,29
[1006]_29-11-2014_2320.jpg,2014-11-29 10:20:20,,new,24,25,27
[1007]_29-11-2014_2330.jpg,2014-11-29 10:30:20,,new,21,21,24
[1008]_29-11-2014_2340.jpg,2014-11-29 10:40:20,,new,17,19,23
[1009]_29-11-2014_2350.jpg,2014-11-29 10:50:20,,new,13,16,20
[1010]_30-11-2014_0000.jpg,2014-11-29 11:00:20,,new,18,19,22
[1011]_30-11-2014_0010.jpg,2014-11-29 11:10:20,,new,16,18,22
