image_file,time,truth,category,lower,estimate,upper
[0881]_28-11-2014_2130.jpg,2014-11-28 08:30:20,7,train,7,9,9
[0882]_28-11-2014_2140.jpg,2014-11-28 08:40:20,,new,7,8,9
[0883]_28-11-2014_2150.jpg,2014-11-28 08:50:20,,new,6,7,9
[0884]_28-11-2014_2200.jpg,2014-11-28 09:00:20,,new,8,8,9
[0888]_28-11-2014_2240.jpg,2014-11-28 09:40:20,,new,7,8,8
[0889]_28-11-2014_2250.jpg,2014-11-28 09:50:20,,new,8,8,9
[0890]_28-11-2014_2300.jpg,2014-11-28 10:00:20,8,train,8,8,8
[0891]_28-11-2014_2310.jpg,2014-11-28 10:10:20,,new,8,8,8
[0892]_28-11-2014_2320.jpg,2014-11-28 10:20:20,,new,7,7,8
[0893]_28-11-2014_2330.jpg,2014-11-28 10:30:20,,new,6,7,7
[0894]_28-11-2014_2340.jpg,2014-11-28 10:40:20,7,train,7,7,7
[0895]_28-11-2014_2350.jpg,2014-11-28 10:50:20,8,train,8,8,8
[0896]_29-11-2014_0000.jpg,2014-11-28 11:00:20,7,train,7,7,7
[0897]_29-11-2014_0010.jpg,2014-11-28 11:10:20,,new,7,7,7
[0898]_29-11-2014_0020.jpg,2014-11-28 11:20:20,7,train,7,8,8
[0899]_29-11-2014_0030.jpg,2014-11-28 11:30:20,,new,5,5,5
[0900]_29-11-2014_0040.jpg,2014-11-28 11:40:20,,new,4,4,4
[0901]_29-11-2014_0050.jpg,2014-11-28 11:50:20,,new,4,4,4
[0902]_29-11-2014_0100.jpg,2014-11-28 12:00:20,,new,3,3,3
[0903]_29-11-2014_0110.jpg,2014-11-28 12:10:20,,new,4,4,4
[0904]_29-11-2014_0120.jpg,2014-11-28 12:20:20,,new,3,3,3
[0905]_29-11-2014_0130.jpg,2014-11-28 12:30:20,3,train,3,3,3
[0906]_29-11-2014_0140.jpg,2014-11-28 12:40:20,,new,4,5,5
[0907]_29-11-2014_0150.jpg,2014-11-28 12:50:20,,new,4,4,5
[0908]_29-11-2014_0200.jpg,2014-11-28 13:00:20,,new,4,5,5
[0909]_29-11-2014_0210.jpg,2014-11-28 13:10:20,,new,4,4,4
[0910]_29-11-2014_0220.jpg,2014-11-28 13:20:20,,new,3,3,3
[0911]_29-11-2014_0230.jpg,2014-11-28 13:30:20,,new,2,2,2
[0912]_29-11-2014_0240.jpg,2014-11-28 13:40:20,,new,2,2,3
[0913]_29-11-2014_0250.jpg,2014-11-28 13:50:20,,new,3,3,4
[0914]_29-11-2014_0300.jpg,2014-11-28 14:00:20,,new,5,5,6
