image_file,time,truth,category,lower,estimate,upper
[0881]_28-11-2014_2130.jpg,2014-11-28 08:30:20,39,train,39,39,39
[0882]_28-11-2014_2140.jpg,2014-11-28 08:40:20,39,train,39,39,39
[0883]_28-11-2014_2150.jpg,2014-11-28 08:50:20,39,train,39,39,39
[0884]_28-11-2014_2200.jpg,2014-11-28 09:00:20,,new,39,39,41
[0888]_28-11-2014_2240.jpg,2014-11-28 09:40:20,,new,40,40,41
[0889]_28-11-2014_2250.jpg,2014-11-28 09:50:20,,new,36,39,41
[0890]_28-11-2014_2300.jpg,2014-11-28 10:00:20,,new,35,38,40
[0891]_28-11-2014_2310.jpg,2014-11-28 10:10:20,,new,39,41,45
[0892]_28-11-2014_2320.jpg,2014-11-28 10:20:20,,new,37,38,40
[0893]_28-11-2014_2330.jpg,2014-11-28 10:30:20,,new,37,38,39
[0894]_28-11-2014_2340.jpg,2014-11-28 10:40:20,,new,40,41,42
[0895]_28-11-2014_2350.jpg,2014-11-28 10:50:20,,new,36,38,41
[0896]_29-11-2014_0000.jpg,2014-11-28 11:00:20,,new,38,39,41
[0897]_29-11-2014_0010.jpg,2014-11-28 11:10:20,,new,36,39,40
[0898]_29-11-2014_0020.jpg,2014-11-28 11:20:20,,new,36,37,38
[0899]_29-11-2014_0030.jpg,2014-11-28 11:30:20,,new,35,36,36
[0900]_29-11-2014_0040.jpg,2014-11-28 11:40:20,,new,25,28,29
[0901]_29-11-2014_0050.jpg,2014-11-28 11:50:20,,new,26,26,28
[0902]_29-11-2014_0100.jpg,2014-11-28 12:00:20,,new,23,25,26
[0903]_29-11-2014_0110.jpg,2014-11-28 12:10:20,,new,26,27,27
[0904]_29-11-2014_0120.jpg,2014-11-28 12:20:20,,new,26,27,27
[0905]_29-11-2014_0130.jpg,2014-11-28 12:30:20,,new,27,27,27
[0906]_29-11-2014_0140.jpg,2014-11-28 12:40:20,,new,27,27,29
[0907]_29-11-2014_0150.jpg,2014-11-28 12:50:20,,new,23,25,26
[0908]_29-11-2014_0200.jpg,2014-11-28 13:00:20,,new,26,27,29
[0909]_29-11-2014_0210.jpg,2014-11-28 13:10:20,,new,23,25,25
[0910]_29-11-2014_0220.jpg,2014-11-28 13:20:20,,new,24,24,25
[0911]_29-11-2014_0230.jpg,2014-11-28 13:30:20,,new,24,25,25
[0912]_29-11-2014_0240.jpg,2014-11-28 13:40:20,,new,23,24,24
[0913]_29-11-2014_0250.jpg,2014-11-28 13:50:20,,new,22,24,24
[0914]_29-11-2014_0300.jpg,2014-11-28 14:00:20,,new,28,28,28
[0915]_29-11-2014_0310.jpg,2014-11-28 14:10:20,,new,25,26,26
[0916]_29-11-2014_0320.jpg,2014-11-28 14:20:20,,new,27,27,27
[0917]_29-11-2014_0330.jpg,2014-11-28 14:30:20,,new,27,27,27
[0918]_29-11-2014_0340.jpg,2014-11-28 14:40:20,,new,27,27,27
[0919]_29-11-2014_0350.jpg,2014-11-28 14:50:20,,new,25,25,25
[0920]_29-11-2014_0400.jpg,2014-11-28 15:00:20,,new,23,23,23
[0921]_29-11-2014_0410.jpg,2014-11-28 15:10:20,,new,26,26,26
[0922]_29-11-2014_0420.jpg,2014-11-28 15:20:20,,new,25,25,25
[0923]_29-11-2014_0430.jpg,2014-11-28 15:30:20,,new,25,25,26
[0924]_29-11-2014_0440.jpg,2014-11-28 15:40:20,,new,25,25,25
[0925]_29-11-2014_0450.jpg,2014-11-28 15:50:20,,new,22,24,24
[0926]_29-11-2014_0500.jpg,2014-11-28 16:00:20,,new,22,24,24
[0927]_29-11-2014_0510.jpg,2014-11-28 16:10:20,,new,25,25,25
[0928]_29-11-2014_0520.jpg,2014-11-28 16:20:20,,new,25,25,26
[0929]_29-11-2014_0530.jpg,2014-11-28 16:30:20,,new,24,26,26
[0930]_29-11-2014_0540.jpg,2014-11-28 16:40:20,,new,23,25,26
[0931]_29-11-2014_0550.jpg,2014-11-28 16:50:20,,new,23,25,25
[0932]_29-11-2014_0600.jpg,2014-11-28 17:00:20,,new,24,24,25
[0933]_29-11-2014_0610.jpg,2014-11-28 17:10:20,26,test,25,26,28
[0934]_29-11-2014_1100.jpg,2014-11-28 22:00:20,,new,32,34,34
[0935]_29-11-2014_1110.jpg,2014-11-28 22:10:20,,new,29,32,34
[0936]_29-11-2014_1120.jpg,2014-11-28 22:20:20,,new,31,31,33
[0937]_29-11-2014_1130.jpg,2014-11-28 22:30:20,,new,31,32,33
[0938]_29-11-2014_1140.jpg,2014-11-28 22:40:20,,new,28,30,30
[0939]_29-11-2014_1150.jpg,2014-11-28 22:50:20,,new,31,34,34
[0940]_29-11-2014_1200.jpg,2014-11-28 23:00:20,,new,31,34,35
[0941]_29-11-2014_1210.jpg,2014-11-28 23:10:20,,new,31,33,36
[0942]_29-11-2014_1220.jpg,2014-11-28 23:20:20,,new,34,36,37
[0943]_29-11-2014_1230.jpg,2014-11-28 23:30:20,,new,30,33,35
[0944]_29-11-2014_1240.jpg,2014-11-28 23:40:20,,new,33,35,35
[0945]_29-11-2014_1300.jpg,2014-11-29 00:00:20,,new,32,33,35
[0946]_29-11-2014_1310.jpg,2014-11-29 00:10:20,,new,36,36,38
[0947]_29-11-2014_1320.jpg,2014-11-29 00:20:20,,new,38,38,39
[0948]_29-11-2014_1330.jpg,2014-11-29 00:30:20,,new,39,40,41
[0949]_29-11-2014_1340.jpg,2014-11-29 00:40:20,,new,39,39,40
[0950]_29-11-2014_1350.jpg,2014-11-29 00:50:20,,new,34,36,37
[0951]_29-11-2014_1400.jpg,2014-11-29 01:00:20,,new,36,37,38
[0952]_29-11-2014_1410.jpg,2014-11-29 01:10:20,37,train,36,36,38
[0953]_29-11-2014_1420.jpg,2014-11-29 01:20:20,,new,37,37,38
[0954]_29-11-2014_1430.jpg,2014-11-29 01:30:20,,new,35,35,39
[0955]_29-11-2014_1440.jpg,2014-11-29 01:40:20,,new,35,35,37
[0956]_29-11-2014_1450.jpg,2014-11-29 01:50:20,,new,33,33,36
[0957]_29-11-2014_1500.jpg,2014-11-29 02:00:20,,new,37,38,39
[0958]_29-11-2014_1510.jpg,2014-11-29 02:10:20,,new,36,36,39
