dataset,AP,mAP30,mAP50,mAP75
$penguins$,75.8631126768887,99.5064377784729,99.41263198852539,90.48392176628113
$branches$,62.62834196910262,96.49799466133118,95.6560492515564,69.60798501968384
$seals$,80.72049885988235,95.6473708152771,95.46890258789062,93.05744171142578
$seals_b$,72.94514395296574,92.65671968460083,92.03460812568665,81.54813051223755
$scott\:base$,81.42403773963451,97.68324494361877,97.46707677841187,92.72238612174988
$apples^1$,51.80323004722596,68.00029873847961,67.60420203208923,59.89553928375244
$apples^2$,74.46303777396679,95.28337717056274,94.54066753387451,83.67887735366821
$scallops_e$,65.04113252274692,93.06703805923462,92.82276034355164,78.41069102287292
$fisheye$,78.88034801930189,99.84709620475769,99.26062822341919,90.73866605758667
$buoys_d$,42.66985169262625,74.1539478302002,71.24586701393127,46.62387669086456
$penguin\:survey$,61.62822788115591,92.13308691978455,90.86261987686157,73.3194351196289
